series,hidden,intermediate,num_experts,topk,tokens,variant,mode,execution,l2_flush,repetitions,p50_rank0_us_median_of_repetitions,p50_rank0_us_min_repetition,p50_rank0_us_max_repetition,max_rank_p50_us_median_of_repetitions,max_rank_p50_us_min_repetition,max_rank_p50_us_max_repetition
characterization,7168,2048,256,8,8,bf16,forward,eager,False,3,523.0239927768707,522.2560167312622,529.0240049362183,523.279994726181,522.8959918022156,529.0240049362183
characterization,7168,2048,256,8,8,bf16,forward,graph,False,3,260.8319967985153,260.015994310379,261.24799251556396,260.8319967985153,260.015994310379,261.24799251556396
characterization,7168,2048,256,8,8,bf16,kernel,eager,False,3,157.75999426841736,157.55199640989304,157.9039990901947,157.76000171899796,157.55199640989304,157.9039990901947
characterization,7168,2048,256,8,8,bf16,kernel,graph,False,3,153.71199697256088,153.08799594640732,153.79199385643005,153.71199697256088,153.20000052452087,153.79199385643005
characterization,7168,2048,256,8,8,ikr,forward,eager,False,3,500.4640221595764,498.81599843502045,500.65600872039795,500.4640221595764,499.4879961013794,501.1039972305298
characterization,7168,2048,256,8,8,ikr,forward,graph,False,3,249.51999634504318,249.4719997048378,249.93599951267242,249.51999634504318,249.4719997048378,249.93599951267242
characterization,7168,2048,256,8,8,ikr,kernel,eager,False,3,143.5519978404045,143.44000071287155,143.61600577831268,143.5519978404045,143.50400120019913,143.61600577831268
characterization,7168,2048,256,8,8,ikr,kernel,graph,False,3,142.4800008535385,142.43200421333313,142.65599846839905,142.4800008535385,142.46399700641632,142.68799871206284
characterization,7168,2048,256,8,64,bf16,forward,eager,False,3,528.8320183753967,528.1279981136322,533.4720015525818,528.8320183753967,528.1279981136322,534.0960025787354
characterization,7168,2048,256,8,64,bf16,forward,graph,False,3,380.5440068244934,380.48000633716583,380.70398569107056,380.5600106716156,380.5440068244934,380.7680010795593
characterization,7168,2048,256,8,64,bf16,kernel,eager,False,3,203.8399949669838,203.47200334072113,203.98399978876114,204.01600003242493,203.5840004682541,204.12799715995789
