run,seed,M,K,global_scale,baseline,baseline_us,triton_us,speedup
forward.jsonl,73,1,4096,1.0,cute_default,1.8771199882030487,1.7132799327373505,1.095629472064105
forward.jsonl,73,1,4096,1.0,cute_no_pdl,2.122880071401596,1.7132799327373505,1.2390736801602626
forward.jsonl,73,1,4096,32.0,cute_default,1.8361599743366241,1.7132799327373505,1.0717221040480789
forward.jsonl,73,1,4096,32.0,cute_no_pdl,2.0819200575351715,1.7132799327373505,1.2151663121442364
forward.jsonl,73,1,7168,1.0,cute_default,1.9180800020694733,1.8361599743366241,1.0446148641065143
forward.jsonl,73,1,7168,1.0,cute_no_pdl,2.1638399362564087,1.8361599743366241,1.1784593752721193
forward.jsonl,73,1,7168,32.0,cute_default,1.9180800020694733,1.7951999604701996,1.068449222540696
forward.jsonl,73,1,7168,32.0,cute_no_pdl,2.122880071401596,1.7951999604701996,1.1825312601085232
forward.jsonl,73,2,4096,1.0,cute_default,2.040960043668747,1.6723200678825378,1.2204362567106992
forward.jsonl,73,2,4096,1.0,cute_no_pdl,2.245759963989258,1.6723200678825378,1.342900804170101
forward.jsonl,73,2,4096,32.0,cute_default,2.040960043668747,1.7132799327373505,1.1912589441282102
forward.jsonl,73,2,4096,32.0,cute_no_pdl,2.245759963989258,1.7132799327373505,1.3107956972338728
forward.jsonl,73,3,4096,1.0,cute_default,2.040960043668747,1.7132799327373505,1.1912589441282102
forward.jsonl,73,3,4096,1.0,cute_no_pdl,2.245759963989258,1.7132799327373505,1.3107956972338728
forward.jsonl,73,3,4096,32.0,cute_default,2.040960043668747,1.754239946603775,1.1634440588472887
forward.jsonl,73,3,4096,32.0,cute_no_pdl,2.2047999501228333,1.754239946603775,1.2568405789591934
forward.jsonl,73,4,7168,1.0,cute_default,2.040960043668747,1.8771199882030487,1.0872826758520326
forward.jsonl,73,4,7168,1.0,cute_no_pdl,2.2047999501228333,1.8771199882030487,1.1745652723209612
forward.jsonl,73,4,7168,32.0,cute_default,2.040960043668747,1.8771199882030487,1.0872826758520326
forward.jsonl,73,4,7168,32.0,cute_no_pdl,2.1638399362564087,1.8771199882030487,1.152744603357953
forward.jsonl,73,7,4096,1.0,cute_default,2.0000000298023224,1.6313600540161133,1.2259709466826065
forward.jsonl,73,7,4096,1.0,cute_no_pdl,2.2867199778556824,1.6313600540161133,1.4017261071375333
forward.jsonl,73,7,4096,32.0,cute_default,2.0000000298023224,1.6723200678825378,1.195943329397875
forward.jsonl,73,7,4096,32.0,cute_no_pdl,2.1638399362564087,1.6723200678825378,1.2939149495444522
forward.jsonl,73,8,4096,1.0,cute_default,2.0188800245523453,1.6723200678825378,1.2072330311198236
forward.jsonl,73,8,4096,1.0,cute_no_pdl,2.2047999501228333,1.6723200678825378,1.3184078768572765
forward.jsonl,73,8,4096,32.0,cute_default,2.0000000298023224,1.6723200678825378,1.195943329397875
forward.jsonl,73,8,4096,32.0,cute_no_pdl,2.1638399362564087,1.6723200678825378,1.2939149495444522
forward.jsonl,73,16,7168,1.0,cute_default,2.0819200575351715,1.9180800020694733,1.0854187809105598
forward.jsonl,73,16,7168,1.0,cute_no_pdl,2.2867199778556824,1.9180800020694733,1.192192179360857
forward.jsonl,73,16,7168,32.0,cute_default,2.0000000298023224,1.9180800020694733,1.0427093904552798
forward.jsonl,73,16,7168,32.0,cute_no_pdl,2.245759963989258,1.9180800020694733,1.170837484133217
forward.jsonl,73,24,4096,1.0,cute_default,2.040960043668747,1.7132799327373505,1.1912589441282102
forward.jsonl,73,24,4096,1.0,cute_no_pdl,2.245759963989258,1.7132799327373505,1.3107956972338728
